Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Battle-related deaths (number of people),VC.BTL.DETH,Afghanistan,AFG,1478,5235,7403,7720,8056,12284,17273,17978,19014,25676,29940,..
Battle-related deaths (number of people),VC.BTL.DETH,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Algeria,DZA,..,932,267,256,147,107,110,86,60,33,..,..
Battle-related deaths (number of people),VC.BTL.DETH,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Angola,AGO,2558,943,..,..,..,..,..,25,25,..,25,..
Battle-related deaths (number of people),VC.BTL.DETH,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Armenia,ARM,..,..,..,9,..,..,9,4,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Australia,AUS,..,..,..,..,..,..,..,..,..,1,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Azerbaijan,AZE,..,..,..,16,..,46,63,137,36,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bangladesh,BGD,45,..,..,..,..,..,..,41,47,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Belgium,BEL,..,..,..,..,..,..,..,2,..,3,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,79,344,..
Battle-related deaths (number of people),VC.BTL.DETH,Burundi,BDI,..,1348,..,..,..,49,133,..,..,..,15,..
Battle-related deaths (number of people),VC.BTL.DETH,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cambodia,KHM,274,..,10,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cameroon,CMR,..,..,..,..,..,969,924,181,98,749,693,..
Battle-related deaths (number of people),VC.BTL.DETH,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Central African Republic,CAF,..,..,48,45,415,17,..,..,..,47,48,..
Battle-related deaths (number of people),VC.BTL.DETH,Chad,TCD,652,989,..,..,..,..,275,..,57,150,184,..
Battle-related deaths (number of people),VC.BTL.DETH,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,China,CHN,..,..,..,..,..,..,5,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Colombia,COL,501,1023,202,211,140,119,134,30,..,142,122,..
Battle-related deaths (number of people),VC.BTL.DETH,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Congo, Dem. Rep.",COD,..,1473,283,773,1531,985,197,755,3630,819,735,..
Battle-related deaths (number of people),VC.BTL.DETH,"Congo, Rep.",COG,..,..,..,..,..,..,..,51,..,..,0,..
Battle-related deaths (number of people),VC.BTL.DETH,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cote d'Ivoire,CIV,8,..,98,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Djibouti,DJI,60,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,2,..
Battle-related deaths (number of people),VC.BTL.DETH,"Egypt, Arab Rep.",EGY,..,..,..,..,..,184,767,355,499,678,448,..
Battle-related deaths (number of people),VC.BTL.DETH,El Salvador,SLV,848,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Eritrea,ERI,..,1793,..,..,..,..,..,25,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Ethiopia,ETH,49698,48257,51,50,77,25,49,50,..,..,27,..
Battle-related deaths (number of people),VC.BTL.DETH,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,France,FRA,..,..,..,..,..,..,3,..,2,4,..,..
Battle-related deaths (number of people),VC.BTL.DETH,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Germany,DEU,1,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Guatemala,GTM,83,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Guinea,GIN,..,217,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Guinea-Bissau,GNB,..,0,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,India,IND,2324,2814,433,409,384,464,495,656,660,819,587,..
Battle-related deaths (number of people),VC.BTL.DETH,Indonesia,IDN,72,286,..,..,..,..,..,..,..,25,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Iran, Islamic Rep.",IRN,31,40,205,..,..,..,..,22,27,60,29,..
Battle-related deaths (number of people),VC.BTL.DETH,Iraq,IRQ,94,53,1072,638,1882,12223,10138,9622,10211,1252,752,..
Battle-related deaths (number of people),VC.BTL.DETH,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Israel,ISR,18,77,56,64,..,1675,..,..,..,58,48,..
Battle-related deaths (number of people),VC.BTL.DETH,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Jordan,JOR,..,..,..,..,..,..,1,34,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Kenya,KEN,..,..,2,29,29,42,48,49,85,69,61,..
Battle-related deaths (number of people),VC.BTL.DETH,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Kuwait,KWT,1058,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Kyrgyz Republic,KGZ,..,174,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Lao PDR,LAO,249,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Lebanon,LBN,753,..,..,..,2,136,76,..,74,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Liberia,LBR,339,57,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Libya,LBY,..,..,3762,..,31,274,275,1727,404,44,1695,..
Battle-related deaths (number of people),VC.BTL.DETH,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Malaysia,MYS,..,..,..,..,70,..,..,..,1,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Mali,MLI,457,..,18,218,805,189,172,96,359,522,603,..
Battle-related deaths (number of people),VC.BTL.DETH,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Mauritania,MRT,..,..,8,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Mozambique,MOZ,1577,..,..,..,42,30,..,55,..,53,278,..
Battle-related deaths (number of people),VC.BTL.DETH,Myanmar,MMR,536,215,713,702,278,187,629,118,517,99,558,..
